reviews.text,cleaned_text,sentiment
"I love it for reading but, it has issues when searching the Internet at times.",love reading issues searching internet times,Neutral
"It was very simple to open, put together, install and begin watching my favorite shows. I highly recommend this box.",simple open put together install begin watching favorite shows highly recommend box,Positive
"After dropping by the local store several times and finding they were out of stock, I found one on the shelf!Great product, easy set-up and works great. KODI installed without any issues.",dropping local store several times finding stock found one shelfgreat product easy setup works great kodi installed without issues,Positive
"I purchased the Fire TV box over the Fire Stick because the box supports 4K video. There isn't a lot out there yet, but I've been able to watch 4k programming from Netflix and Amazon Prime. I'm using the Netflix, Hulu and FXNow apps -- Amazon Prime is built in. I also downloaded the free VLC app to stream video from my computer. I may end up getting a second one for another TV. Very happy with the Fire Box.",purchased fire tv box fire stick box supports k video isnt lot yet ive able watch k programming netflix amazon prime im using netflix hulu fxnow apps amazon prime built also downloaded free vlc app stream video computer may end getting second one another tv happy fire box,Positive
My grand daughter wanted a tablet and this was a wonderful purchase for her birthday. The price was excellent and it does everything she was looking for and more. She never wants to put it down!,grand daughter wanted tablet wonderful purchase birthday price excellent everything looking never wants put,Positive
I purchased this kindle to replace one I had for several years. So far it has preformed great. Easy to use and holds a charge well.,purchased kindle replace one several years far preformed great easy use holds charge well,Positive
I purchased 2 one for my wife the other for my college aged daughter both are enjoying the product immensely !,purchased one wife college aged daughter enjoying product immensely,Positive
i have never used this product before found it to be very easy,never used product found easy,Positive
Love the speed and apps offered through the unit. Had eliminated most of the buffering issues I've had with other streaming sticks.,love speed apps offered unit eliminated buffering issues ive streaming sticks,Positive
I upgraded to the paperwhite after my very old Kindle died. I like the paperwhite screen. I hate that the pop up adds and recommendations have absolutely no connection to my reading history. It's very different from earlier Kindles so I'm still learning features. I can't understand why the paperwhite costs 2-3 times what the Kindle Fire costs.,upgraded paperwhite old kindle died like paperwhite screen hate pop adds recommendations absolutely connection reading history different earlier kindles im still learning features cant understand paperwhite costs times kindle fire costs,Positive
I have found my echo to be fun and useful! It understands what i say most of the time.,found echo fun useful understands say time,Positive
"This was a gift for my daughter at Christmas. It is a great basic tablet, especially for the price. The only thing I would say that is a con would be the lack of apps available vs Android or iOS.",gift daughter christmas great basic tablet especially price thing would say con would lack apps available vs android ios,Positive
"The Amazon Echo is awesome. It is VERY easy to set up. I mostly play pandora music, but it works with Amazon music and Audible.",amazon echo awesome easy set mostly play pandora music works amazon music audible,Positive
Absolutely love my new Kindle Voyager. Lightweight and compact size makes it easier to carry with me everywhere I go. Wish I had bought one sooner.,absolutely love new kindle voyager lightweight compact size makes easier carry everywhere go wish bought one sooner,Positive
Awesome product fully functional with my home theater and overall feel of my living room. good for playing music off spotify,awesome product fully functional home theater overall feel living room good playing music spotify,Positive
Very easy to set up and the whole family is have alot of fun with this great product!!!,easy set whole family alot fun great product,Positive
Purchased this device for a three year old. He loves it.,purchased device three year old loves,Positive
Lady had been looking for one of these since Xmas and found one. And loves it,lady looking one since xmas found one loves,Positive
This is great little tablet that is very user friendly and lightweight!,great little tablet user friendly lightweight,Positive
"I am very pleased with this tablet. It is easily portable, user-friendly and has good battery life",pleased tablet easily portable userfriendly good battery life,Positive
"this item is pretty loud for it's size but the commands that you tell it have to be pretty specific. for example, when you tell her to play some music you have to be specific as to what station and that it's on pandora. not amazing but pretty cool",item pretty loud size commands tell pretty specific example tell play music specific station pandora amazing pretty cool,Positive
One of the best purchases I've ever made! It's ties into my whole home network and works with all of my phone and other products.,one best purchases ive ever made ties whole home network works phone products,Positive
"This replaced a Kindle 7 HDX with 32GB of ram. The older tablet had a charging port that wasn't functioning anymore. Had the Geek Squad warranty so they issued a full credit for the old tablet and my son chose the HD8 as his new tablet. Other than the screen resolution being lower and less memory, great tablet. My son didn't care about the resolution and the new Kindles let you pop in an SD card for more storage. Popped in a 64GB SD card and he's a happy camper now.. ;)",replaced kindle hdx gb ram older tablet charging port wasnt functioning anymore geek squad warranty issued full credit old tablet son chose hd new tablet screen resolution lower less memory great tablet son didnt care resolution new kindles let pop sd card storage popped gb sd card hes happy camper,Positive
"Brought this for my son for xmas, he loved it and was very happy with it.",brought son xmas loved happy,Positive
I was able to grab this tablet for $35 during black friday. I was surprised at how great this little tablet was for that price. I would definitely recommend it if you can grab for that great price.,able grab tablet black friday surprised great little tablet price would definitely recommend grab great price,Positive
I would highly recommend this product!! I wish that I had purchased this item a long time ago!,would highly recommend product wish purchased item long time ago,Positive
"Unless I'm not using it right, I can't voice search within apps outside of the amazon realm. Other than that, pretty sweet setup.",unless im using right cant voice search within apps outside amazon realm pretty sweet setup,Positive
"So, I won't be able to go into super depth for this. I only needed a device to run one app. For my purposes, it literally has one job.I can say, for the price, it's far more responsive that I would have ever guessed. And the screen clarity is great. Good battery life.I was disappointed that the lock screen would always show ads. I don't have the package, and I don't recall it being forward with this fact. In the settings, I said I had to pay $15 to disable ads because ""in exchange for the subsidized price, they can do ads"" or something like that.I kinda get that, and for most people this may not be a big deal. But for my reasons, this is a bit unprofessional to have. So when buying it, whatever the price, you may have to shell out $15 more.Still, all said and done, good price for simple needs.",wont able go super depth needed device run one app purposes literally one jobi say price far responsive would ever guessed screen clarity great good battery lifei disappointed lock screen would always show ads dont package dont recall forward fact settings said pay disable ads exchange subsidized price ads something like thati kinda get people may big deal reasons bit unprofessional buying whatever price may shell morestill said done good price simple needs,Positive
"My kids love this product, as do I. Parental restrictions can be set and they know when they have to shut them off. Good battery life too.",kids love product parental restrictions set know shut good battery life,Positive
So far I haven't had any trouble with this tablet. Only thing that sucks is this I can't text from it. If anyone who's an app for it let me know! Thank you !,far havent trouble tablet thing sucks cant text anyone whos app let know thank,Positive
"I use Alexa all the time to set temperature, water the lawn, play music. This is definitely a product worth having if you have a smart home.",use alexa time set temperature water lawn play music definitely product worth smart home,Positive
I bought this one for a family member because I loved mine so much! She was very pleased.,bought one family member loved mine much pleased,Positive
"Love the tablet, my 4 year old uses the tablet on a daily basis! Perfect tablet for kids!",love tablet year old uses tablet daily basis perfect tablet kids,Positive
It's nice but there are too many specific lines to remember to get her to talk to you. Also your family gmail calendar does NOT connect if on iCloud with iPhones so she will not know your families calendar. Needs updates and she should be able to answer you by a question and not a specific way you must say things with the skills,nice many specific lines remember get talk also family gmail calendar connect icloud iphones know families calendar needs updates able answer question specific way must say things skills,Neutral
What a super product. So very convenient being able to ask questions or give commands rather than firing up the computer and typing.,super product convenient able ask questions give commands rather firing computer typing,Positive
I like this thing I have it turning on lights in and out of the house it good for getting info about things it can do math it can hear very good and will play music from my Pandora account that's just a few things it can do.,like thing turning lights house good getting info things math hear good play music pandora account thats things,Positive
both adults and children will be delighted with this tablet.,adults children delighted tablet,Positive
This device has already been used by all of my family for fun and looking up school information,device already used family fun looking school information,Positive
easy to use. works great when you have an Amazon account,easy use works great amazon account,Positive
amazing device with useful features. Adds/updates amazon cart so fast and even checking out is fairly simple,amazing device useful features addsupdates amazon cart fast even checking fairly simple,Positive
Alexa knows all the answers and she's helping us be more efficient as we add light switches and a thermostat,alexa knows answers shes helping us efficient add light switches thermostat,Positive
Bought as a family gift. We use it all the time now. Very helpful and covenient,bought family gift use time helpful covenient,Positive
"The tap is a great concept, I love my echo so a portable one was that much better. However the sound is pretty terrible, no bass and can be scratchy.. It was a good concept just poor execution.",tap great concept love echo portable one much better however sound pretty terrible bass scratchy good concept poor execution,Negative
"Great product, good size for travel. We bought it for our girl, we use it when we travel, and put it on the back seat, so she can see videos or movies",great product good size travel bought girl use travel put back seat see videos movies,Positive
"What is there to say, but that I love it. Functions well, and lasts a long time.",say love functions well lasts long time,Positive
My previous Kindle was dying and I wanted a new replacement fast. I went to Amazon and while they had one it was back ordered a month. Expecting to pay more I went to Best Buy and not only found it for the same price but even better it was available at my local store and I could pick it up the same day!,previous kindle dying wanted new replacement fast went amazon one back ordered month expecting pay went best buy found price even better available local store could pick day,Positive
Very handy and easy to use! I recommend this product!,handy easy use recommend product,Positive
Waited quite a while before buying this Kindle reaader. Weighed it heavily against an iPad. Talked to friends about their experiences with reeaders. The Kindle just seemed l8ike it would do the job I wanted much betterand the price was fantastic. I have beeen pleasantly surprised with what a Kindle can accomplish and how easy it is to use.,waited quite buying kindle reaader weighed heavily ipad talked friends experiences reeaders kindle seemed like would job wanted much betterand price fantastic beeen pleasantly surprised kindle accomplish easy use,Positive
The Amazon Echo is not bad. She seems pretty intelligent but sometimes she doesn't seem to understand simple questions.,amazon echo bad seems pretty intelligent sometimes doesnt seem understand simple questions,Positive
Great tablet that can be used for kiddos and those not great with technology.,great tablet used kiddos great technology,Positive
"This is a great tablet for an affordable price. Has most of the functionality you would get with a high-end tablet with expandable memory. Access your books, browse web, email, etc. Nice screen resolution, no issues with it thus far",great tablet affordable price functionality would get highend tablet expandable memory access books browse web email etc nice screen resolution issues thus far,Positive
Bought one at the store and liked it so got one for my daughter inlaw for Christmas,bought one store liked got one daughter inlaw christmas,Positive
"This is the second Kindle I have owned. Paperwhite appealed to me for its reader-friendly settings and backlighting. My first Kindle was a keyboard model with no backlight so I used a ""clip in"" light that fit in my M Edge case. I forsook the keyboard this time as I rarely used Kindle for web browsing. I also abandoned my fear of advertising to select the ""special features?"" model. Ads appear only at start up and are quickly and easily dispatched - there's only one ad so all you do is swipe up and it's gone. The new Kindle has exceeded my expectations. After I get books to put on it, I turn off the WiFi and the device will go for weeks without recharging. (Btw, I purchased an inexpensive Fintie case which shuts down Kindle when you close the cover and sends it to sleep - it's never really totally off.) You just have to remember to put your reading on the device itself rather than in the ""cloud"". The backlighting is awesome and the Paperwhite e-ink and font great for older eyes. My only complaint is that the ""collections"" setup is not particularly user friendly and the icons take getting used to on the toolbar. However, I am totally happy with this purchase and glad I updated to Paperwhite.",second kindle owned paperwhite appealed readerfriendly settings backlighting first kindle keyboard model backlight used clip light fit edge case forsook keyboard time rarely used kindle web browsing also abandoned fear advertising select special features model ads appear start quickly easily dispatched theres one ad swipe gone new kindle exceeded expectations get books put turn wifi device go weeks without recharging btw purchased inexpensive fintie case shuts kindle close cover sends sleep never really totally remember put reading device rather cloud backlighting awesome paperwhite eink font great older eyes complaint collections setup particularly user friendly icons take getting used toolbar however totally happy purchase glad updated paperwhite,Positive
"I really like it, I can see the letters perfectly and it has a perfect size",really like see letters perfectly perfect size,Positive
"Nice ereader for reading books. Browser should be improved otherwise fine for reading books, another irritating part is ads pop up which amazon shud fix",nice ereader reading books browser improved otherwise fine reading books another irritating part ads pop amazon shud fix,Positive
"Liked it a lot,, Liked it a lot, liked it a lot!!!",liked lot liked lot liked lot,Negative
Works very well as long as you have good internet speed. Saves us a lot of money not paying for satellite.,works well long good internet speed saves us lot money paying satellite,Positive
"This is an awesome tablet, fast, great HD display and has all the apps I need for personal entertainment. If you look for a great tablet for entertainment, surfing the net, or reading your e-mail, this is the best you can have. I also purchased a 128 GB SanDisk Ultra Plus memory card. I strongly recommend it, not for work but its great for entertainment.",awesome tablet fast great hd display apps need personal entertainment look great tablet entertainment surfing net reading email best also purchased gb sandisk ultra plus memory card strongly recommend work great entertainment,Positive
"My 3 and 2 year old download their own games.Easy to set up and get working. Thanks to parental Control, I know what they are downloading",year old download gameseasy set get working thanks parental control know downloading,Positive
"had a regular kindle and this one is just as light but with a backlight so it helps with night time or train reading (when in tunnels).A lot faster too, as it's newer.",regular kindle one light backlight helps night time train reading tunnelsa lot faster newer,Positive
Excellent gift for my grandkids. They love it and play with it all the time.,excellent gift grandkids love play time,Positive
Nice tablet and couldn't beat the Black Friday price,nice tablet couldnt beat black friday price,Positive
"We got this on a one-day special and took a chance. I would say that Alexa generally works better than Siri on most things and more consistently. The speaker alone is good, but the ability to play radio via TuneIN, Pandora, Amazon Music, etc. is value enough...beyond the little things like saying ""Alexa, set a timer for 4 minutes"" or ""Alexa, what's the weather going to be like?"". Overall very impressed with the Echo - recommended highly.",got oneday special took chance would say alexa generally works better siri things consistently speaker alone good ability play radio via tunein pandora amazon music etc value enoughbeyond little things like saying alexa set timer minutes alexa whats weather going like overall impressed echo recommended highly,Positive
Love love love my kindle fire. Had the original and then bought and iPad then bought this kindle and I am wondering why I even bought the iPad. Will not switch again. I will stick with my kindle.,love love love kindle fire original bought ipad bought kindle wondering even bought ipad switch stick kindle,Positive
"Truly enjoyed it, meets customer needs great for games, reading and day to day usage",truly enjoyed meets customer needs great games reading day day usage,Positive
This is a great tablet! It has lots of features. The cost is really low for such a great tablet.,great tablet lots features cost really low great tablet,Positive
"I have used the Fire TV for a day, and I think that it is an enormous leap forward in set top box functionality.",used fire tv day think enormous leap forward set top box functionality,Positive
Cool asking it questions and getting accurate replies !,cool asking questions getting accurate replies,Positive
"I've had my Echo for a few weeks now, and it is awesome. It's so easy to use the voice commands. There are also a lot of possible connections and add ons in the Alexa App. Great purchase.",ive echo weeks awesome easy use voice commands also lot possible connections add ons alexa app great purchase,Positive
"flips between Prime, Netflix, and Hulu quickly and easily & lot more",flips prime netflix hulu quickly easily lot,Neutral
"I returned and got the 8"" since this turned this product and would not turn on. I got another since it was a gift.",returned got since turned product would turn got another since gift,Negative
Very good for the price. Would buy it again for sure.,good price would buy sure,Positive
Great price for an awesome tablet. Awesome tablet to read my books.,great price awesome tablet awesome tablet read books,Positive
The parental controls are amazing! Super easy for my daughter to operate,parental controls amazing super easy daughter operate,Positive
Can't believe how much fun we have had with our new echo. Love all the music we can listen too so quickly.,cant believe much fun new echo love music listen quickly,Positive
It was just what I was looking for. So far I have had no issues with it.,looking far issues,Positive
Nice and light. Does not have as good of battery as advertised but still very nice.,nice light good battery advertised still nice,Positive
We love our tablets waiting recommend it to my friends,love tablets waiting recommend friends,Positive
Works fine with TWC RR Extreme. Better than a Smart Tv.,works fine twc rr extreme better smart tv,Positive
Wow what doesn't this do. Enjoy listening and finding out what it can do.,wow doesnt enjoy listening finding,Positive
Great tablet for reading and playing games. Graphics are great.,great tablet reading playing games graphics great,Positive
Does everything we expected! Great for the price. Had it over a month now and no problems. I'd recommend it!,everything expected great price month problems id recommend,Positive
